symbol,exchange,reason
ARKADE.NS,NSE,not_found_on_yahoo
DCXINDIA.NS,NSE,not_found_on_yahoo
DCXINDIA.BO,BSE,not_found_on_yahoo
WAAREEINDO.NS,NSE,not_found_on_yahoo
NUCLEUS.NS,NSE,not_found_on_yahoo
NUCLEUS.BO,BSE,not_found_on_yahoo
CANTABIL.NS,NSE,not_found_on_yahoo
VINCOFE.BO,BSE,not_found_on_yahoo
CANTABIL.BO,BSE,not_found_on_yahoo
VINCOFE.NS,NSE,not_found_on_yahoo
ALPEXSOLAR.NS,NSE,not_found_on_yahoo
MSPL.BO,BSE,not_found_on_yahoo
MSPL.NS,NSE,not_found_on_yahoo
TITANBIO.BO,BSE,not_found_on_yahoo
BFUTILITIE.BO,BSE,not_found_on_yahoo
BFUTILITIE.NS,NSE,not_found_on_yahoo
WINDLAS.NS,NSE,not_found_on_yahoo
WINDLAS.BO,BSE,not_found_on_yahoo
IPL.NS,NSE,not_found_on_yahoo
IPL.BO,BSE,not_found_on_yahoo
INDNIPPON.BO,BSE,not_found_on_yahoo
INDNIPPON.NS,NSE,not_found_on_yahoo
JNKINDIA.NS,NSE,not_found_on_yahoo
GARUDA.NS,NSE,not_found_on_yahoo
GARUDA.BO,BSE,not_found_on_yahoo
RAMCOSYS.BO,BSE,not_found_on_yahoo
RAMCOSYS.NS,NSE,not_found_on_yahoo
MCLOUD.NS,NSE,not_found_on_yahoo
MCLOUD.BO,BSE,not_found_on_yahoo
SANSTAR.NS,NSE,not_found_on_yahoo
BFINVEST.BO,BSE,not_found_on_yahoo
BFINVEST.NS,NSE,not_found_on_yahoo
ALGOQUANT.BO,BSE,not_found_on_yahoo
JGCHEM.NS,NSE,not_found_on_yahoo
SPIC.NS,NSE,not_found_on_yahoo
SPIC.BO,BSE,not_found_on_yahoo
AWHCL.NS,NSE,not_found_on_yahoo
AWHCL.BO,BSE,not_found_on_yahoo
TIL.NS,NSE,not_found_on_yahoo
TIL.BO,BSE,not_found_on_yahoo
ALLCARGO.BO,BSE,not_found_on_yahoo
BLUECLOUDS.BO,BSE,not_found_on_yahoo
ALLCARGO.NS,NSE,not_found_on_yahoo
INDOSOLAR.NS,NSE,not_found_on_yahoo
KCK.NS,NSE,not_found_on_yahoo
SAKAR.NS,NSE,not_found_on_yahoo
EXPLEOSOL.BO,BSE,not_found_on_yahoo
EXPLEOSOL.NS,NSE,not_found_on_yahoo
IMPAL.BO,BSE,not_found_on_yahoo
IMPAL.NS,NSE,not_found_on_yahoo
TTKHLTCARE.NS,NSE,not_found_on_yahoo
MMWL.BO,BSE,not_found_on_yahoo
FINOPB.BO,BSE,not_found_on_yahoo
FINOPB.NS,NSE,not_found_on_yahoo
CAPITALSFB.NS,NSE,not_found_on_yahoo
BAJAJHCARE.NS,NSE,not_found_on_yahoo
BAJAJHCARE.BO,BSE,not_found_on_yahoo
GPTHEALTH.NS,NSE,not_found_on_yahoo
STEELXIND.NS,NSE,not_found_on_yahoo
STEELXIND.BO,BSE,not_found_on_yahoo
CIFL.NS,NSE,not_found_on_yahoo
ACGL.BO,BSE,not_found_on_yahoo
CIFL.BO,BSE,not_found_on_yahoo
GRPLTD.NS,NSE,not_found_on_yahoo
SAPL.BO,BSE,not_found_on_yahoo
GRPLTD.BO,BSE,not_found_on_yahoo
WCIL.NS,NSE,not_found_on_yahoo
BAJAJST.BO,BSE,not_found_on_yahoo
APS.NS,NSE,not_found_on_yahoo
RAMASTEEL.BO,BSE,not_found_on_yahoo
RAMASTEEL.NS,NSE,not_found_on_yahoo
GKWLIMITED.NS,NSE,not_found_on_yahoo
DPSCLTD.NS,NSE,not_found_on_yahoo
SAHAJSOLAR.NS,NSE,not_found_on_yahoo
NINSYS.NS,NSE,not_found_on_yahoo
ISTLTD.BO,BSE,not_found_on_yahoo
BODALCHEM.NS,NSE,not_found_on_yahoo
BODALCHEM.BO,BSE,not_found_on_yahoo
SALSTEEL.NS,NSE,not_found_on_yahoo
SALSTEEL.BO,BSE,not_found_on_yahoo
PQIF.BO,BSE,not_found_on_yahoo
DENTA.NS,NSE,not_found_on_yahoo
MAXIND.NS,NSE,not_found_on_yahoo
ECORECO.BO,BSE,not_found_on_yahoo
VTMLTD.BO,BSE,not_found_on_yahoo
INDIAHOMES.BO,BSE,not_found_on_yahoo
ASAL.NS,NSE,not_found_on_yahoo
ASAL.BO,BSE,not_found_on_yahoo
BIGBLOC.BO,BSE,not_found_on_yahoo
BIGBLOC.NS,NSE,not_found_on_yahoo
TAKE.NS,NSE,not_found_on_yahoo
SPELS.BO,BSE,not_found_on_yahoo
TAKE.BO,BSE,not_found_on_yahoo
SNOWMAN.BO,BSE,not_found_on_yahoo
VEEFIN.BO,BSE,not_found_on_yahoo
SNOWMAN.NS,NSE,not_found_on_yahoo
SJLOGISTIC.NS,NSE,not_found_on_yahoo
AXTEL.BO,BSE,not_found_on_yahoo
